Date,Distance walking,Step count
2023-04-02,2.173,2644.000
2023-04-03,5.751,8560.000
2023-04-04,5.802,8592.000
2023-04-05,4.021,5436.000
2023-04-06,4.854,7111.000
2023-04-07,8.873,12488.000
2023-04-08,5.469,8133.000
2023-04-09,6.133,9071.000
2023-04-10,4.892,7083.000
2023-04-11,8.463,12686.000
2023-04-12,6.881,9900.000
2023-04-13,3.128,4603.000
2023-04-14,0.982,1351.000
2023-04-15,4.350,6618.000
2023-04-16,4.886,6983.000
2023-04-17,5.597,7832.000
2023-04-18,2.720,4130.000
2023-04-19,5.313,8562.000
2023-04-20,1.139,1576.000
2023-04-21,1.006,1406.000
2023-04-22,7.873,11188.000
2023-04-23,1.881,2851.000
2023-04-24,4.429,6000.000
2023-04-25,0.482,683.000
2023-04-26,4.124,5947.000
2023-04-27,4.231,6226.000
2023-04-28,7.372,11210.000
2023-04-29,4.530,6852.000
2023-04-30,0.177,258.000
2023-05-01,5.608,7783.000
2023-05-02,6.514,9899.000
2023-05-03,7.251,9842.000
2023-05-04,1.351,2128.000
2023-05-05,2.765,4087.000
2023-05-06,5.567,8524.407
2023-05-07,3.620,5670.593
2023-05-08,4.863,7067.000
2023-05-09,10.118,15057.000
2023-05-10,6.971,10122.000
2023-05-11,1.074,1540.000
2023-05-12,8.331,11964.425
2023-05-13,10.365,15109.575
2023-05-14,0.229,354.888
2023-05-15,7.914,11260.112
2023-05-16,7.404,10653.000
2023-05-17,3.243,5238.000
2023-05-18,1.091,1774.000
2023-05-19,1.097,1588.000
2023-05-20,1.125,1915.000
2023-05-21,5.373,7712.000
2023-05-22,5.939,8499.000
2023-05-23,2.784,3996.000
2023-05-24,4.550,6255.000
2023-05-25,8.204,11980.000
2023-05-26,5.920,8477.000
2023-05-27,2.992,4548.000
